Date,Adj Close,Close,High,Low,Open,Volume,Company
2020-01-01,427.9308776855469,444.9461364746094,452.0134582519531,441.4615478515625,447.64544677734375,5154996,Airtel
2020-01-02,429.72454833984375,446.8111267089844,450.9337158203125,445.1424560546875,445.73138427734375,4933053,Airtel
2020-01-03,429.6300964355469,446.71295166015625,450.7373962402344,443.1793212890625,447.3019104003906,5154587,Airtel
2020-01-06,424.4851379394531,441.3634033203125,449.0196533203125,436.4555358886719,445.5350646972656,7538915,Airtel
2020-01-07,420.1897583007813,436.8972473144531,446.9092712402344,434.9341125488281,443.6701049804688,4353883,Airtel
2020-01-08,433.1702575683594,450.3938598632813,452.25885009765625,432.23480224609375,434.4433288574219,14118818,Airtel
2020-01-09,434.3502807617188,451.6208190917969,466.1971435546875,446.9092712402344,459.7678527832031,18180867,Airtel
2020-01-10,431.4237976074219,448.5779418945313,457.3630065917969,445.8295593261719,456.2341918945313,37724966,Airtel
2020-01-13,442.6578063964844,460.2586364746094,461.6328430175781,445.8786315917969,450.54107666015625,15206224,Airtel
2020-01-14,443.0826416015625,460.7003479003906,463.9395446777344,458.00103759765625,460.2586364746094,8238486,Airtel
2020-01-15,441.6665649414063,459.2279968261719,463.301513671875,456.4305114746094,460.84759521484375,10875259,Airtel
2020-01-16,447.3779602050781,465.16650390625,468.1602783203125,459.375244140625,460.5531005859375,16290593,Airtel
2020-01-17,472.06451416015625,490.8345947265625,494.5154724121094,466.3443908691406,466.3443908691406,61915666,Airtel
2020-01-20,480.2303771972656,499.3251647949219,503.25146484375,485.1414794921875,489.8039245605469,45298836,Airtel
2020-01-21,483.1097106933594,502.3189697265625,505.5090637207031,495.1044006347656,500.6012268066406,65202963,Airtel
2020-01-22,485.7057495117188,505.0182800292969,514.0978393554688,497.3620300292969,505.263671875,20285793,Airtel
2020-01-23,494.3436584472656,513.9996337890625,516.3063354492188,502.9078979492188,505.5090637207031,15772863,Airtel
2020-01-24,494.91015625,514.588623046875,517.6314697265625,504.67474365234375,510.90771484375,23824625,Airtel
2020-01-27,485.6114196777344,504.9201354980469,514.4413452148438,502.4661865234375,511.5457153320313,11856786,Airtel
2020-01-28,463.7569580078125,482.1967468261719,504.9201354980469,477.14166259765625,504.87103271484375,31674769,Airtel
2020-01-29,462.8129577636719,481.2151794433594,492.1596984863281,479.2520446777344,484.0126647949219,20037283,Airtel
2020-01-30,462.3880920410156,480.7734680175781,483.81634521484375,471.2522277832031,482.9329223632813,15337903,Airtel
2020-01-31,468.66595458984375,487.3009338378906,490.1965637207031,478.0250854492188,484.1108093261719,18356252,Airtel
2020-02-03,481.50482177734375,500.6502990722656,503.8894653320313,486.9082946777344,486.9082946777344,15212799,Airtel
