Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
15-03-2018,1156.26,1169.49,1150.58,1166.45,2348906
16-03-2018,1138.53,1157.18,1130.19,1155.90,7197482
19-03-2018,1140.66,1147.51,1136.23,1139.86,3489940
20-03-2018,1154.30,1157.67,1135.83,1136.23,4024984
21-03-2018,1151.04,1162.14,1148.32,1157.39,3907678
22-03-2018,1140.81,1158.78,1137.26,1152.33,2326094
23-03-2018,1135.49,1141.91,1127.39,1128.98,3654122
26-03-2018,1135.02,1139.21,1120.74,1135.83,2964210
27-03-2018,1147.39,1153.56,1137.46,1138.25,2494574
28-03-2018,1147.98,1158.39,1138.25,1142.64,6865654
02-04-2018,1172.35,1174.11,1144.29,1144.29,1662988
03-04-2018,1173.00,1180.51,1165.28,1165.28,1937290
04-04-2018,1172.86,1182.17,1165.24,1180.33,2841820
05-04-2018,1191.82,1194.15,1176.67,1179.16,1809424
06-04-2018,1188.73,1192.64,1179.16,1190.22,1129018
09-04-2018,1178.10,1194.05,1174.51,1184.46,1235866
10-04-2018,1183.62,1191.53,1178.82,1178.82,1184532
11-04-2018,1214.46,1218.83,1186.84,1188.85,3124416
12-04-2018,1264.86,1269.20,1211.96,1212.79,6114360
13-04-2018,1270.53,1305.78,1261.98,1269.20,8179118
16-04-2018,1284.37,1289.32,1253.38,1255.50,6270274
17-04-2018,1275.88,1287.31,1268.07,1284.37,3301724
18-04-2018,1272.86,1286.70,1267.52,1275.64,2433066
19-04-2018,1285.78,1296.27,1275.54,1281.24,4820952
20-04-2018,1370.91,1378.93,1305.46,1309.49,18465662
23-04-2018,1373.41,1433.55,1365.72,1379.60,15185910
24-04-2018,1364.14,1387.31,1346.76,1373.96,8314336
25-04-2018,1398.23,1403.37,1355.84,1363.88,8196574
26-04-2018,1426.03,1434.39,1396.92,1396.92,12135034
27-04-2018,1390.86,1427.95,1377.98,1420.29,4501330
30-04-2018,1423.15,1429.96,1385.08,1390.86,3458558
02-05-2018,1410.12,1423.19,1398.65,1422.51,3158046
03-05-2018,1402.91,1420.69,1398.29,1414.17,3761550
04-05-2018,1402.46,1409.01,1398.13,1407.00,2347244
07-05-2018,1378.37,1406.19,1374.32,1406.19,3484426
08-05-2018,1386.53,1404.78,1368.60,1383.91,2992820
09-05-2018,1405.91,1408.10,1386.12,1386.12,2615050
10-05-2018,1390.58,1414.71,1386.12,1411.41,3858678
11-05-2018,1392.87,1404.17,1387.05,1391.76,2627876
14-05-2018,1383.44,1398.53,1374.28,1392.89,2433894
15-05-2018,1403.13,1408.53,1383.50,1390.07,1952890
16-05-2018,1407.76,1413.84,1400.25,1402.14,1648450
17-05-2018,1406.91,1423.57,1400.55,1415.44,2968048
18-05-2018,1411.04,1417.35,1393.30,1402.48,1874996
21-05-2018,1433.08,1447.29,1417.49,1421.78,3446178
22-05-2018,1413.80,1440.42,1407.68,1433.59,1857416
23-05-2018,1408.24,1428.35,1402.56,1420.29,1507298
24-05-2018,1452.00,1456.55,1411.17,1414.25,2962316
25-05-2018,1444.79,1480.65,1439.45,1460.58,3769772
28-05-2018,1411.04,1457.16,1404.58,1457.16,3716798
29-05-2018,1419.69,1427.95,1405.38,1422.27,3525312
30-05-2018,1415.90,1423.51,1403.17,1413.86,3779106
31-05-2018,1414.68,1429.31,1402.53,1408.95,5049371
01-06-2018,1407.69,1428.05,1394.57,1425.20,1603856
04-06-2018,1417.28,1421.14,1391.56,1417.89,1681483
05-06-2018,1398.88,1423.50,1390.39,1417.08,2449568
06-06-2018,1402.25,1409.68,1393.68,1400.01,2236512
07-06-2018,1410.21,1421.14,1400.66,1401.64,2414762
08-06-2018,1419.60,1427.88,1409.76,1409.76,2582138
11-06-2018,1421.71,1432.52,1416.27,1419.60,2179378
12-06-2018,1447.14,1450.39,1424.39,1427.64,4608875
