Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
27-09-2018,554.96,559.05,547.76,555.51,23642923
28-09-2018,556.82,562.90,552.10,557.68,24220992
01-10-2018,545.20,556.70,532.94,556.70,16039441
03-10-2018,533.42,548.69,531.19,544.22,16135428
04-10-2018,496.75,526.92,489.56,526.52,50774608
05-10-2018,464.26,493.67,459.52,486.68,47998260
08-10-2018,491.06,494.43,453.95,464.77,53983473
09-10-2018,482.50,497.21,478.58,496.48,24042005
10-10-2018,487.83,493.92,479.95,484.20,20784941
11-10-2018,481.50,493.43,461.67,470.97,28926389
12-10-2018,498.65,499.74,487.74,489.09,19814528
15-10-2018,504.50,507.66,494.93,500.14,19406012
16-10-2018,515.14,516.73,504.61,507.26,16358598
17-10-2018,509.61,522.02,504.61,521.87,27967162
19-10-2018,487.48,491.77,473.73,486.90,55606079
22-10-2018,470.37,493.45,468.02,491.33,28798142
23-10-2018,466.85,471.28,461.96,465.99,23128845
24-10-2018,462.89,476.26,456.54,475.79,29869514
25-10-2018,456.27,460.63,449.90,458.57,30833933
26-10-2018,462.51,467.87,452.38,457.20,20085933
29-10-2018,481.50,484.18,463.00,463.00,16781215
30-10-2018,467.87,480.48,465.70,480.48,19263668
31-10-2018,469.75,471.78,463.44,468.75,35999348
01-11-2018,467.54,472.69,464.77,472.69,20552752
02-11-2018,475.79,478.49,470.59,472.29,36739798
05-11-2018,482.61,483.67,471.41,475.15,16585905
06-11-2018,488.72,492.21,483.18,484.25,18886485
07-11-2018,491.64,493.54,489.87,493.54,2808599
09-11-2018,484.00,493.01,480.26,489.67,23712291
12-11-2018,478.05,486.37,475.64,485.88,12690610
13-11-2018,486.66,488.23,473.64,475.39,14899604
14-11-2018,485.99,492.50,480.48,489.14,17034346
15-11-2018,485.51,488.23,480.93,485.55,14943663
16-11-2018,499.03,500.16,485.62,485.99,24131016
19-11-2018,509.03,509.79,500.62,501.46,15987574
20-11-2018,503.46,511.64,500.18,506.82,12511640
21-11-2018,492.61,507.04,490.02,503.50,16422494
22-11-2018,488.16,498.12,486.95,493.32,12670591
26-11-2018,491.22,494.65,485.75,490.88,13969873
27-11-2018,499.38,500.18,489.31,490.40,14896607
28-11-2018,510.21,512.46,498.54,501.26,17507771
29-11-2018,517.22,522.27,513.46,513.90,27640198
30-11-2018,516.80,524.97,514.48,518.90,23443212
03-12-2018,511.89,520.05,508.37,520.05,12182825
04-12-2018,510.05,512.57,505.58,512.57,11358720
05-12-2018,511.31,512.93,504.30,506.27,12729759
06-12-2018,497.37,508.59,494.98,508.59,12831451
07-12-2018,501.86,503.26,490.60,499.94,15779984
10-12-2018,482.59,493.23,479.42,491.33,20521072
11-12-2018,485.82,487.83,466.98,471.85,29518062
12-12-2018,491.55,492.88,481.48,486.46,27572962
13-12-2018,490.02,499.29,484.71,499.29,20337275
14-12-2018,492.30,493.50,483.27,488.27,15795834
17-12-2018,500.14,501.51,491.99,493.96,11077711
18-12-2018,503.01,504.16,495.98,497.21,12841994
19-12-2018,503.19,507.84,501.60,505.27,16118419
20-12-2018,499.49,501.29,494.05,496.20,12609700
21-12-2018,486.99,500.73,485.13,497.97,18115814
24-12-2018,482.10,488.32,480.95,487.30,9065704
26-12-2018,486.17,486.90,471.70,480.62,15771193
27-12-2018,495.84,498.85,488.67,490.09,27294221
28-12-2018,498.21,502.50,496.28,498.19,16768547
31-12-2018,496.31,501.88,494.07,500.60,15799099
01-01-2019,496.20,498.99,491.37,498.08,9746670
02-01-2019,489.73,498.85,487.34,493.32,15628818
03-01-2019,483.69,493.36,482.52,490.22,16288287
04-01-2019,486.30,488.87,478.54,485.75,18516544
07-01-2019,489.00,495.07,487.34,490.00,12060290
08-01-2019,488.96,491.31,485.13,489.16,12304389
09-01-2019,491.66,494.43,486.33,492.21,12614237
10-01-2019,490.22,491.77,488.23,490.33,8925160
11-01-2019,486.04,493.01,481.85,490.27,14139060
14-01-2019,485.48,487.12,480.88,484.69,8994060
15-01-2019,500.03,501.07,489.11,489.11,22011407
16-01-2019,502.79,506.82,500.34,502.39,13961606
17-01-2019,502.15,508.10,500.18,506.58,16379077
18-01-2019,524.24,526.69,502.50,508.50,56181172
21-01-2019,547.85,548.85,526.14,528.51,48206814
22-01-2019,546.72,551.95,539.84,545.71,36207430
23-01-2019,542.81,550.73,540.90,545.90,19313542
24-01-2019,552.17,554.71,540.06,542.23,28775487
25-01-2019,551.53,559.80,546.83,553.50,18703992
28-01-2019,544.24,555.93,541.08,553.52,18744303
29-01-2019,535.88,545.17,531.76,544.89,20405845
30-01-2019,529.26,542.23,527.23,537.80,17164298
31-01-2019,543.18,544.31,531.61,532.05,22279301
01-02-2019,553.27,555.51,543.14,546.21,20187323
04-02-2019,571.40,574.08,549.78,551.97,25528059
05-02-2019,571.69,577.38,565.96,571.89,20479210
06-02-2019,579.97,583.24,572.88,573.77,20586783
07-02-2019,571.18,584.81,569.28,579.97,20150710
08-02-2019,565.56,575.65,563.15,568.70,14230054
11-02-2019,554.74,564.81,553.74,564.76,16457901
12-02-2019,556.13,563.19,553.96,553.96,13998153
14-02-2019,541.88,549.31,539.13,549.31,14496604
15-02-2019,550.84,553.25,537.36,544.33,20994460
18-02-2019,540.06,554.40,537.80,553.30,21106139
19-02-2019,538.29,548.74,536.12,539.13,13658461
20-02-2019,546.37,548.87,539.57,541.72,13776558
21-02-2019,551.92,556.75,544.16,547.10,23142949
22-02-2019,545.48,551.22,542.67,550.91,19152470
25-02-2019,545.46,550.20,540.31,547.10,17176522
26-02-2019,540.13,546.57,533.82,535.37,22160532
27-02-2019,541.57,551.04,535.15,543.58,24308835
28-02-2019,544.91,548.80,542.92,546.10,24688859
01-03-2019,542.70,549.91,541.01,547.54,17329606
05-03-2019,547.83,548.78,539.40,541.52,15577500
06-03-2019,559.85,563.52,546.70,548.78,26332276
07-03-2019,562.26,566.49,556.90,559.49,17738092
08-03-2019,560.87,564.12,558.61,560.40,13211934
11-03-2019,577.24,580.74,561.26,562.17,21258869
12-03-2019,589.31,590.48,581.74,582.91,24561597
13-03-2019,596.37,601.99,587.87,591.81,24577591
14-03-2019,593.82,602.87,591.41,597.45,22753310
15-03-2019,585.01,601.46,580.39,595.35,34764353
18-03-2019,597.58,601.08,588.27,589.15,22104063
19-03-2019,609.31,610.84,594.51,601.99,21448030
20-03-2019,608.83,614.38,603.76,609.87,21639437
22-03-2019,593.91,611.24,591.67,607.52,25078643
25-03-2019,586.25,591.74,582.82,588.97,17394088
26-03-2019,605.20,607.12,588.71,588.84,20734876
27-03-2019,597.23,609.93,595.02,609.93,22079870
28-03-2019,601.99,606.32,594.37,597.67,22930248
01-04-2019,616.08,622.70,603.12,606.41,22088854
02-04-2019,615.13,621.06,610.88,618.81,17526740
03-04-2019,608.71,621.02,607.30,616.48,17169813
04-04-2019,598.91,612.48,596.34,610.40,18320845
05-04-2019,599.29,603.71,594.46,602.41,14717266
08-04-2019,588.38,600.88,585.92,600.22,19081843
09-04-2019,590.68,593.44,584.72,588.22,20774977
10-04-2019,589.33,596.68,587.16,592.23,16651949
11-04-2019,596.14,598.89,588.27,590.01,12558520
12-04-2019,594.51,600.61,591.65,597.56,12948769
15-04-2019,593.20,597.10,590.92,595.35,9285737
16-04-2019,594.79,601.99,593.13,595.35,17360317
18-04-2019,613.47,615.16,604.20,608.63,39286534
22-04-2019,595.50,605.09,593.71,601.99,23607922
23-04-2019,603.69,607.74,595.79,596.68,19807450
24-04-2019,615.04,617.39,604.75,606.55,16101112
25-04-2019,607.48,625.18,603.14,614.87,30469914
26-04-2019,616.51,617.90,606.72,608.63,15069884
30-04-2019,616.51,618.10,605.00,618.10,22348580
02-05-2019,621.93,625.84,611.77,616.15,18992003
03-05-2019,623.61,627.44,620.87,623.21,14240262
06-05-2019,613.01,620.93,610.00,618.81,15832114
07-05-2019,594.68,617.48,593.22,617.39,19417647
08-05-2019,575.19,593.13,571.98,593.13,31958919
09-05-2019,556.15,570.47,554.07,570.47,42670173
10-05-2019,553.81,565.56,551.08,559.94,24557430
13-05-2019,545.35,558.08,543.34,552.37,17603659
14-05-2019,557.92,561.86,545.11,547.32,28438234
15-05-2019,556.35,565.69,553.56,563.48,24419559
16-05-2019,560.09,562.99,556.88,557.70,14451308
17-05-2019,561.00,565.23,554.18,560.82,17276949
20-05-2019,586.89,592.12,576.98,581.45,26979100
21-05-2019,593.05,605.09,588.73,589.68,30343560
22-05-2019,593.31,601.85,590.97,595.63,24689918
23-05-2019,590.43,616.15,586.49,607.30,38766006
24-05-2019,591.74,599.24,582.73,596.68,22269265
27-05-2019,580.14,592.03,578.53,591.85,16076686
28-05-2019,585.94,590.83,581.34,584.19,42594251
29-05-2019,581.20,590.17,577.27,584.72,15558515
30-05-2019,588.60,594.02,582.62,582.62,23494381
31-05-2019,588.77,593.98,584.37,592.20,25724066
03-06-2019,602.08,605.20,584.81,590.92,18556942
04-06-2019,598.29,608.29,596.72,600.86,15442761
06-06-2019,587.53,602.83,584.77,602.83,16764835
07-06-2019,582.02,587.49,577.91,586.92,14722419
10-06-2019,583.91,587.38,579.90,584.68,11768468
11-06-2019,588.33,590.70,583.40,585.10,11492074
12-06-2019,589.66,592.43,586.49,590.79,10297599
13-06-2019,587.49,590.79,579.26,588.71,15686169
14-06-2019,583.20,586.49,579.59,585.12,14942768
17-06-2019,567.59,584.28,565.91,584.28,14908257
18-06-2019,567.02,570.09,561.75,566.09,16797371
19-06-2019,565.40,576.31,558.87,569.63,14492763
20-06-2019,573.99,575.43,565.69,566.58,10748848
21-06-2019,566.35,573.66,564.61,573.64,23236832
24-06-2019,558.79,565.00,556.44,563.10,11267228
25-06-2019,573.59,574.54,555.18,557.24,14966899
26-06-2019,572.84,577.46,569.39,571.44,11593027
27-06-2019,563.99,574.06,562.59,572.40,24905533
28-06-2019,554.67,567.84,552.70,565.29,18942165
01-07-2019,561.64,563.32,551.73,556.86,13478857
02-07-2019,565.91,567.02,559.18,563.90,10146746
03-07-2019,567.70,569.45,564.38,567.86,8806492
04-07-2019,568.35,571.44,566.58,567.20,9351405
05-07-2019,559.21,571.22,557.72,568.83,10926753
08-07-2019,554.20,561.31,552.50,556.84,14009219
09-07-2019,566.62,568.12,551.30,552.83,17535754
10-07-2019,566.07,570.71,561.57,566.60,12018196
11-07-2019,567.26,570.91,566.27,569.67,8608376
12-07-2019,566.80,575.43,565.71,567.90,15692436
15-07-2019,564.85,570.78,562.30,568.79,10659498
16-07-2019,572.33,573.17,565.27,566.55,10070773
17-07-2019,567.39,574.10,566.58,572.91,9482233
18-07-2019,558.54,569.41,556.84,567.46,11942908
19-07-2019,552.85,563.46,550.07,561.35,16336536
