Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
05-06-2018,476.67,477.44,467.29,473.53,17105460
06-06-2018,475.22,476.94,472.37,475.88,9782000
07-06-2018,476.34,480.41,474.27,478.88,10563896
08-06-2018,473.38,476.12,470.06,475.60,6180888
11-06-2018,471.75,476.52,470.94,473.96,7091188
12-06-2018,472.11,474.15,470.85,473.96,5234256
13-06-2018,469.24,474.63,467.54,473.99,7897960
14-06-2018,470.62,472.37,467.75,468.91,16927576
15-06-2018,468.81,470.96,467.13,467.98,10880816
18-06-2018,466.40,470.94,464.08,468.93,7487404
19-06-2018,467.40,471.38,466.43,467.74,10981152
20-06-2018,474.95,475.37,467.75,467.98,9051712
21-06-2018,475.28,478.33,472.84,475.84,13510704
22-06-2018,481.23,482.49,473.49,475.13,7848980
25-06-2018,483.91,484.57,478.85,481.16,6992336
26-06-2018,483.62,485.77,480.42,481.85,9161932
27-06-2018,487.99,489.58,482.77,483.46,19126804
28-06-2018,492.20,494.31,487.66,488.54,37533540
29-06-2018,487.03,494.31,486.25,490.09,19458120
02-07-2018,478.90,487.02,476.59,487.00,9864876
03-07-2018,478.19,481.61,477.13,478.90,6863100
04-07-2018,485.90,486.93,477.91,479.59,6097992
05-07-2018,490.56,491.77,483.35,486.23,9735968
06-07-2018,488.57,493.29,487.70,488.15,8121344
09-07-2018,491.00,492.00,486.87,490.12,6182296
10-07-2018,495.79,496.53,490.85,491.98,10950736
11-07-2018,496.22,497.94,493.11,495.48,5857920
12-07-2018,500.31,503.52,497.09,497.29,8020668
13-07-2018,503.76,506.05,499.65,500.87,7161188
16-07-2018,500.98,505.88,499.80,503.42,9017336
17-07-2018,502.80,503.79,499.69,499.69,6361924
18-07-2018,502.68,512.79,502.09,505.17,17460272
19-07-2018,504.96,506.67,501.48,504.25,5304776
20-07-2018,505.64,508.83,501.50,504.96,10006964
23-07-2018,498.11,503.09,493.86,496.62,16880132
24-07-2018,498.88,501.01,495.93,495.93,5208792
25-07-2018,501.33,502.82,498.93,500.01,7038616
26-07-2018,506.46,508.97,500.09,500.09,21281092
27-07-2018,508.67,510.93,504.64,508.62,10554596
30-07-2018,501.22,507.94,498.80,507.94,7169120
31-07-2018,503.44,504.92,496.64,498.93,8860944
01-08-2018,498.63,502.40,497.02,499.58,6071560
02-08-2018,492.05,497.48,490.01,497.43,8905704
03-08-2018,490.08,495.94,488.31,492.82,13604008
06-08-2018,488.38,493.71,486.48,489.93,5744632
07-08-2018,492.21,493.04,486.92,490.85,7428456
08-08-2018,493.47,497.04,492.71,493.36,9945380
09-08-2018,489.35,494.78,483.84,494.78,8944408
10-08-2018,488.41,490.57,484.61,490.50,5442940
13-08-2018,483.15,485.99,480.46,481.38,10054252
14-08-2018,482.56,486.23,482.12,484.61,4935964
16-08-2018,479.46,482.00,477.31,481.15,10625160
17-08-2018,479.84,483.47,478.53,481.13,6065328
20-08-2018,484.20,486.83,479.30,479.30,7811136
21-08-2018,484.16,487.85,483.38,484.61,7776320
23-08-2018,480.43,486.69,479.73,486.23,12574552
24-08-2018,478.11,483.60,477.23,478.38,9714628
27-08-2018,480.56,482.42,478.20,479.76,12574788
28-08-2018,483.89,484.67,480.18,482.30,9973532
29-08-2018,480.11,483.70,478.78,483.26,9873692
30-08-2018,477.24,482.28,476.26,481.29,21827460
31-08-2018,476.11,480.17,475.43,477.96,15771500
03-09-2018,479.31,480.21,476.64,478.01,7661608
04-09-2018,473.94,479.98,473.29,479.74,7130536
05-09-2018,472.57,475.88,470.19,474.40,5641508
