Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
21-02-2018,451.22,452.99,448.31,451.26,13771358
22-02-2018,456.47,457.75,448.49,450.49,17859974
23-02-2018,454.47,458.54,450.97,457.55,9459828
26-02-2018,447.76,454.23,446.09,452.64,5083608
27-02-2018,452.32,453.68,442.67,450.26,6616026
28-02-2018,461.13,467.78,449.31,451.30,17268416
01-03-2018,456.47,459.95,454.62,459.95,6579852
05-03-2018,454.56,460.42,449.59,456.47,8101456
06-03-2018,452.77,458.30,449.73,457.18,6689734
07-03-2018,449.92,456.18,447.54,454.21,6370416
08-03-2018,454.86,458.46,451.85,451.85,6093014
09-03-2018,457.51,458.54,454.43,457.10,4220964
12-03-2018,466.30,468.70,460.80,462.47,7676970
13-03-2018,465.54,470.73,462.13,464.12,8581052
14-03-2018,464.36,468.21,459.75,464.04,4429710
15-03-2018,465.02,467.34,460.90,464.04,6101500
16-03-2018,460.86,464.98,459.81,464.83,17954826
19-03-2018,450.97,464.24,449.35,457.75,7526620
20-03-2018,457.97,460.11,451.69,451.69,8553766
21-03-2018,459.13,462.27,457.04,460.11,7692994
22-03-2018,456.69,463.04,454.33,457.95,6813168
23-03-2018,459.16,461.60,449.24,451.06,12008084
26-03-2018,454.31,458.89,449.88,458.89,8930722
27-03-2018,453.82,456.69,452.28,456.18,3802088
28-03-2018,445.09,452.54,442.90,452.54,12558322
02-04-2018,447.19,452.07,440.96,448.70,8072702
03-04-2018,448.49,449.71,443.63,446.23,4077168
04-04-2018,442.10,450.10,440.45,449.88,4813302
05-04-2018,451.28,452.75,444.02,448.13,7763544
06-04-2018,443.20,450.67,441.27,449.49,5937742
09-04-2018,437.00,442.73,435.16,442.41,7202882
10-04-2018,437.85,442.22,434.70,437.30,8926058
11-04-2018,442.12,444.97,439.07,439.66,9025574
12-04-2018,457.20,461.19,442.41,444.16,17044366
13-04-2018,460.68,466.36,452.34,461.68,21227038
16-04-2018,445.64,448.31,433.37,433.37,24745084
17-04-2018,442.49,443.36,438.48,443.20,10397940
18-04-2018,442.79,446.25,438.03,441.57,10430380
19-04-2018,445.50,448.23,441.66,442.02,8525542
20-04-2018,463.43,469.43,447.11,447.92,24272692
23-04-2018,467.07,477.57,454.31,459.32,21830638
24-04-2018,454.01,470.49,452.28,466.01,8526216
25-04-2018,456.31,460.50,450.36,453.03,11594178
26-04-2018,462.65,464.69,456.18,461.68,11302084
27-04-2018,466.09,468.60,461.76,464.04,7663370
30-04-2018,471.71,475.03,464.30,464.71,5511678
02-05-2018,470.75,472.54,464.43,471.47,10295042
03-05-2018,465.04,473.75,462.51,470.82,5332230
04-05-2018,461.33,466.40,454.21,466.01,6023368
07-05-2018,465.22,467.97,462.27,464.53,4638960
