Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
09-04-2018,471.90,478.28,468.67,472.96,2395291
10-04-2018,469.50,476.57,468.81,473.33,2645876
11-04-2018,481.69,483.03,471.39,472.04,5693850
12-04-2018,476.57,481.74,470.75,481.74,3619891
13-04-2018,473.89,480.17,471.39,475.37,2130074
16-04-2018,479.80,481.28,472.50,473.89,2687330
17-04-2018,473.10,482.11,471.58,482.11,3104869
18-04-2018,472.96,477.95,471.72,475.14,2412444
19-04-2018,470.38,475.74,467.75,475.74,1936774
20-04-2018,466.78,470.19,463.73,470.19,4431085
23-04-2018,475.04,476.20,466.50,466.50,2424057
24-04-2018,478.32,483.59,473.43,476.57,3432552
25-04-2018,474.86,481.69,472.23,475.27,2112975
26-04-2018,473.52,482.85,472.32,474.81,3304748
27-04-2018,484.19,486.27,475.97,478.05,3998704
30-04-2018,488.11,490.47,485.07,487.74,1689385
02-05-2018,475.92,490.28,471.53,489.59,5805988
03-05-2018,495.13,498.18,472.64,477.58,7457111
04-05-2018,478.46,492.36,477.03,489.59,5429919
07-05-2018,474.53,480.35,467.88,478.51,3837196
08-05-2018,472.46,479.66,469.82,474.81,2519096
09-05-2018,467.56,475.55,466.68,472.46,2477607
10-05-2018,459.29,470.42,457.54,469.27,4218689
11-05-2018,436.06,458.32,432.09,456.34,9906203
14-05-2018,437.68,450.61,436.01,436.94,6746471
15-05-2018,432.92,443.40,424.01,437.86,5493167
16-05-2018,435.74,436.94,427.24,430.47,4675165
17-05-2018,443.27,448.95,432.64,436.94,5939278
18-05-2018,429.46,451.67,427.56,451.67,8722402
21-05-2018,409.92,429.55,406.73,428.81,5809871
22-05-2018,418.46,421.23,401.83,410.93,4466739
23-05-2018,417.77,426.31,415.18,419.39,4549341
24-05-2018,427.56,433.89,417.03,420.22,6237036
25-05-2018,430.89,433.61,421.23,430.01,4971624
28-05-2018,461.60,466.45,443.40,448.02,16007675
29-05-2018,461.42,471.07,452.69,458.74,8258927
30-05-2018,456.84,465.30,454.81,457.17,3851368
31-05-2018,443.73,458.18,436.85,457.17,18790216
01-06-2018,447.42,452.23,442.57,448.02,3793797
04-06-2018,442.11,453.38,440.45,448.95,2995860
05-06-2018,437.40,446.41,434.30,439.85,3076737
06-06-2018,452.50,454.67,437.03,440.54,4126448
07-06-2018,451.49,456.24,448.53,453.24,2197858
08-06-2018,487.98,492.96,449.18,449.87,29224236
11-06-2018,494.86,502.52,486.04,489.59,16452353
12-06-2018,499.25,503.40,490.84,494.86,8140874
13-06-2018,504.65,518.18,501.00,510.10,20167822
